planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
CD Cet b;1;2.2907;0.0185;;87.48;;8.6;6.51;464.0;3130.0;0.17;0.16;0.018462346618996164
CFBDSIR J145829+101343 b;1;10037.5;2.6;;;;;;370.0;580.5;;0.02;2.4718861620991635
CFHTWIR-Oph 98 b;1;8040000.0;200.0;20.849;;;;;1800.0;2320.0;0.24;0.01;169.21497523134028
CHXR 73 b;1;;210.0;;;;;;;;;0.35;
CI Tau c;1;25.2;0.17;;;0.58;;300.0;;;;;
COCONUTS-2 b;1;;;12.442;;;;;;3406.0;0.39;0.37;
COCONUTS-2 b;1;402000000.0;7506.0;12.442;;;;;434.0;3406.0;0.39;0.37;7652.782533207129
CT Cha b;1;;440.0;24.66;;;;;2600.0;;;;
CoRoT-1 b;1;1.5089557;;16.7;85.1;0.0;;188.0;1898.0;5950.0;1.11;0.95;0.025310086180257832
CoRoT-1 b;1;1.5089682;0.02752;19.223;85.1;0.036;;190.0;;6298.0;1.23;1.22;0.027511108992847116
CoRoT-1 b;1;1.50896877;;;;;;;;;;;
CoRoT-1 b;1;1.5089557;0.0261;16.589;86.7;0.0;;198.0;;5950.0;1.14;1.03;0.026001485692705082
CoRoT-1 b;1;1.5089686;0.02536;17.385;84.42;;;188.0;1915.0;5950.0;1.13;0.95;0.025310230429973723
CoRoT-1 b;1;1.50897655;0.0259;15.917;85.66;0.071;;;1834.0;5950.0;;;
CoRoT-1 b;1;1.5089635;;20.594;;;2852.63;;2036.0;5950.0;1.29;;
CoRoT-10 b;1;13.2406;0.1055;10.873;88.55;0.524;;297.5;;5075.0;0.79;0.89;0.10535857180296013
CoRoT-10 b;1;13.2406;0.106;10.548;88.57;;;301.0;647.0;5075.0;0.74;0.9;0.10575170444449607
CoRoT-10 b;1;13.2406;0.1055;10.87;88.55;0.53;;301.0;600.0;5075.0;0.79;0.89;0.10535857180296013
CoRoT-10 b;1;13.23412611;;7.385;;;16.11;;511.0;5025.0;0.55;;
CoRoT-11 b;1;2.994325;0.04351;15.581;83.41;0.0;;304.0;1715.0;;1.33;1.23;0.0435614596467062
CoRoT-11 b;1;2.99433;0.0436;16.03;83.17;0.0;;280.0;1657.0;6440.0;1.37;1.27;0.044028691309506235
CoRoT-11 b;1;2.99433;0.044;15.984;83.13;;;280.0;1735.0;6440.0;1.37;1.26;0.04391282579674051
CoRoT-11 b;1;2.994325;0.04407;16.029;83.17;0.36;;334.0;;6440.0;1.37;1.27;0.04402864229608914
CoRoT-11 b;1;2.99328197;;21.746;;;1890.65;;1682.0;6343.0;1.59;;
CoRoT-11 b;1;;;;;;;;;6343.0;1.36;1.56;
CoRoT-11 b;1;2.99427803;;;83.17;;;;;6440.0;1.37;1.27;0.04402818186271705
CoRoT-12 b;1;2.82805268;0.0392;15.065;85.71;;;;1417.0;;1.05;1.0;0.03913750104957444
CoRoT-12 b;1;2.828042;0.04013;16.141;85.48;0.05;;125.1;;5675.0;1.12;1.08;0.04015441015027982
CoRoT-12 b;1;2.828042;0.04016;16.14;85.48;0.07;;125.5;1442.0;5675.0;1.12;1.08;0.04015441015027982
CoRoT-12 b;1;2.828042;0.0394;15.132;85.79;;;125.5;1410.0;5675.0;1.05;1.02;0.039396598165429245
CoRoT-12 b;1;2.82803915;;17.76;;;661.13;;1293.0;5675.0;1.04;;
CoRoT-12 b;1;2.828041;;;;;;;;5675.0;1.12;1.08;0.04015440068450515
CoRoT-13 b;1;4.03519;0.051;14.034;85.27;;;157.8;1432.0;5945.0;1.27;1.09;0.05104888419998058
CoRoT-13 b;1;4.03504444;;12.533;;;546.53;;1233.0;5945.0;1.14;;
CoRoT-13 b;1;4.03519;0.05107;9.92;88.02;0.067;;160.7;;5945.0;1.01;1.09;0.05104888419998058
CoRoT-13 b;1;4.03515;;;;;;;;5945.0;1.01;1.09;0.05104854684143545
CoRoT-13 b;1;4.03519;0.051;9.92;88.02;0.0;;157.8;1700.0;5945.0;1.01;1.09;0.05104888419998058
CoRoT-14 b;1;1.51214;0.027;12.22;79.6;0.0;;1230.0;1952.0;6035.0;1.21;1.13;0.026854819924011307
CoRoT-14 b;1;1.51214;0.02687;11.411;79.7;;;1230.0;1936.0;6035.0;1.19;1.12;0.026775367329726664
